type	name	code	yyyymm	value
YLDSD	부산광역시	26	201103	11.7
YLDSD	대구광역시	27	201103	9.8
YLDSD	인천광역시	28	201103	12.1
YLDSD	광주광역시	29	201103	12
YLDSD	대전광역시	30	201103	10.9
YLDSD	울산광역시	31	201103	12.1
YLDSD	세종특별자치시	36	201103	12
YLDSD	경기도	41	201103	10.9
YLDSD	강원도	42	201103	12.8
YLDSD	충청북도	43	201103	11.1
YLDSD	충청남도	44	201103	12
YLDSD	전라북도	45	201103	15.3
YLDSD	전라남도	46	201103	13.6
YLDSD	경상북도	47	201103	13.4
YLDSD	경상남도	48	201103	9
YLDSD	제주특별자치시도	50	201103	12.7
DD	서울특별시	11	201103	9.1
DD	종로구	11110	201103	9.8
DD	중구	11140	201103	9.8
DD	용산구	11170	201103	9.8
DD	양천구	11470	201103	9.1
DD	강서구	11500	201103	9.1
DD	구로구	11530	201103	9.1
DD	금천구	11545	201103	9.1
DD	영등포구	11560	201103	9.1
DD	동작구	11590	201103	9.1
DD	관악구	11620	201103	9.1
DD	서초구	11650	201103	8.4
DD	강남구	11680	201103	8.4
DD	송파구	11710	201103	8.4
DD	강동구	11740	201103	8.4
DD	성동구	11200	201103	9.2
DD	광진구	11215	201103	9.2
DD	동대문구	11230	201103	9.2
DD	중랑구	11260	201103	9.2
DD	서울시성북구	11290	201103	9.2
DD	강북구	11305	201103	9.2
DD	서울시도봉구	11320	201103	9.2
DD	서울시노원구	11350	201103	9.2
DD	은평구	11380	201103	9.5
DD	서대문구	11410	201103	9.5
DD	마포구	11440	201103	9.5
DD	부산광역시	26	201103	10.1
DD	대구광역시	27	201103	13
DD	인천광역시	28	201103	13.2
DD	광주광역시	29	201103	14.7
DD	대전광역시	30	201103	10.9
DD	울산광역시	31	201103	10.6
DD	세종특별자치시	36	201103	13.1
DD	경기도	41	201103	10.8
DD	강원도	42	201103	13.2
DD	충청북도	43	201103	14
DD	충청남도	44	201103	13.1
DD	전라북도	45	201103	12.7
DD	전라남도	46	201103	13.9
DD	경상북도	47	201103	14.2
DD	경상남도	48	201103	11.2
DD	제주특별자치시도	50	201103	8.9
APT	서울특별시	11	201104	7.4
APT	종로구	11110	201104	7.6
APT	중구	11140	201104	7.4
APT	용산구	11170	201104	7.2
APT	성동구	11200	201104	7.2
APT	광진구	11215	201104	7.1
APT	동대문구	11230	201104	7.5
APT	중랑구	11260	201104	7.7
APT	성북구	11290	201104	7.4
APT	강북구	11305	201104	7.5
APT	도봉구	11320	201104	8
APT	노원구	11350	201104	7.6
APT	은평구	11380	201104	7.5
APT	서대문구	11410	201104	7.2
APT	마포구	11440	201104	7.4
APT	양천구	11470	201104	7.3
APT	강서구	11500	201104	7.6
APT	구로구	11530	201104	7.1
APT	금천구	11545	201104	7.7
APT	영등포구	11560	201104	7.2
APT	동작구	11590	201104	7.1
APT	관악구	11620	201104	7.4
APT	서초구	11650	201104	6.9
APT	강남구	11680	201104	7.5
APT	송파구	11710	201104	6.7
APT	강동구	11740	201104	8
APT	부산광역시	26	201104	7.5
APT	영도구	26200	201104	8.4
APT	부산진구	26230	201104	8
APT	동래구	26260	201104	7.7
APT	남구	26290	201104	7.1
APT	북구	26320	201104	7.2
APT	해운대구	26350	201104	7.1
APT	사하구	26380	201104	7.3
APT	금정구	26410	201104	7.7
APT	연제구	26470	201104	8
APT	수영구	26500	201104	8
APT	사상구	26530	201104	7.2
APT	기장군	26710	201104	8
APT	대구광역시	27	201104	7.6
APT	동구	27140	201104	7.8
APT	서구	27170	201104	8
APT	북구	27230	201104	7.8
APT	수성구	27260	201104	7.5
APT	달서구	27290	201104	7.3
APT	달성군	27710	201104	9.1
APT	인천광역시	28	201104	8.8
APT	중구	28110	201104	9.2
