원본	매칭용처리후	법정동코드
충청남도 공주시 반포면 학봉리	충청남도 공주시 반포면 학봉리	4415034033
충청남도 공주시 봉정동	충청남도 공주시 봉정동	4415011100
충청남도 공주시 봉황동	충청남도 공주시 봉황동	4415010200
충청남도 공주시 사곡면 가교리	충청남도 공주시 사곡면 가교리	4415039028
충청남도 공주시 사곡면 계실리	충청남도 공주시 사곡면 계실리	4415039024
충청남도 공주시 사곡면 고당리	충청남도 공주시 사곡면 고당리	4415039026
충청남도 공주시 사곡면 대중리	충청남도 공주시 사곡면 대중리	4415039027
충청남도 공주시 사곡면 부곡리	충청남도 공주시 사곡면 부곡리	4415039033
충청남도 공주시 사곡면 신영리	충청남도 공주시 사곡면 신영리	4415039022
충청남도 공주시 사곡면 운암리	충청남도 공주시 사곡면 운암리	4415039029
충청남도 공주시 사곡면 월가리	충청남도 공주시 사곡면 월가리	4415039031
충청남도 공주시 사곡면 유룡리	충청남도 공주시 사곡면 유룡리	4415039032
충청남도 공주시 사곡면 해월리	충청남도 공주시 사곡면 해월리	4415039025
충청남도 공주시 사곡면 호계리	충청남도 공주시 사곡면 호계리	4415039021
충청남도 공주시 사곡면 화월리	충청남도 공주시 사곡면 화월리	4415039023
충청남도 공주시 사곡면 회학리	충청남도 공주시 사곡면 회학리	4415039030
충청남도 공주시 산성동	충청남도 공주시 산성동	4415010500
충청남도 공주시 상왕동	충청남도 공주시 상왕동	4415011700
충청남도 공주시 석장리동	충청남도 공주시 석장리동	4415012500
충청남도 공주시 소학동	충청남도 공주시 소학동	4415011600
충청남도 공주시 송선동	충청남도 공주시 송선동	4415012600
충청남도 공주시 신관동	충청남도 공주시 신관동	4415012000
충청남도 공주시 신기동	충청남도 공주시 신기동	4415011500
충청남도 공주시 신풍면 대룡리	충청남도 공주시 신풍면 대룡리	4415040028
충청남도 공주시 신풍면 동원리	충청남도 공주시 신풍면 동원리	4415040022
충청남도 공주시 신풍면 백룡리	충청남도 공주시 신풍면 백룡리	4415040030
충청남도 공주시 신풍면 봉갑리	충청남도 공주시 신풍면 봉갑리	4415040024
충청남도 공주시 신풍면 산정리	충청남도 공주시 신풍면 산정리	4415040021
충청남도 공주시 신풍면 선학리	충청남도 공주시 신풍면 선학리	4415040031
충청남도 공주시 신풍면 쌍대리	충청남도 공주시 신풍면 쌍대리	4415040026
충청남도 공주시 신풍면 영정리	충청남도 공주시 신풍면 영정리	4415040032
충청남도 공주시 신풍면 용수리	충청남도 공주시 신풍면 용수리	4415040025
충청남도 공주시 신풍면 입동리	충청남도 공주시 신풍면 입동리	4415040029
충청남도 공주시 신풍면 조평리	충청남도 공주시 신풍면 조평리	4415040023
충청남도 공주시 신풍면 청흥리	충청남도 공주시 신풍면 청흥리	4415040027
충청남도 공주시 신풍면 평소리	충청남도 공주시 신풍면 평소리	4415040033
충청남도 공주시 신풍면 화흥리	충청남도 공주시 신풍면 화흥리	4415040034
충청남도 공주시 쌍신동	충청남도 공주시 쌍신동	4415012200
충청남도 공주시 오곡동	충청남도 공주시 오곡동	4415011400
충청남도 공주시 옥룡동	충청남도 공주시 옥룡동	4415010900
충청남도 공주시 우성면 귀산리	충청남도 공주시 우성면 귀산리	4415038032
충청남도 공주시 우성면 내산리	충청남도 공주시 우성면 내산리	4415038028
충청남도 공주시 우성면 단지리	충청남도 공주시 우성면 단지리	4415038022
충청남도 공주시 우성면 대성리	충청남도 공주시 우성면 대성리	4415038036
충청남도 공주시 우성면 도천리	충청남도 공주시 우성면 도천리	4415038026
충청남도 공주시 우성면 동곡리	충청남도 공주시 우성면 동곡리	4415038030
충청남도 공주시 우성면 동대리	충청남도 공주시 우성면 동대리	4415038021
충청남도 공주시 우성면 목천리	충청남도 공주시 우성면 목천리	4415038033
충청남도 공주시 우성면 반촌리	충청남도 공주시 우성면 반촌리	4415038031
충청남도 공주시 우성면 방문리	충청남도 공주시 우성면 방문리	4415038023
충청남도 공주시 우성면 방흥리	충청남도 공주시 우성면 방흥리	4415038034
충청남도 공주시 우성면 보흥리	충청남도 공주시 우성면 보흥리	4415038035
충청남도 공주시 우성면 봉현리	충청남도 공주시 우성면 봉현리	4415038039
충청남도 공주시 우성면 상서리	충청남도 공주시 우성면 상서리	4415038024
충청남도 공주시 우성면 신웅리	충청남도 공주시 우성면 신웅리	4415038027
충청남도 공주시 우성면 안양리	충청남도 공주시 우성면 안양리	4415038037
충청남도 공주시 우성면 어천리	충청남도 공주시 우성면 어천리	4415038040
충청남도 공주시 우성면 오동리	충청남도 공주시 우성면 오동리	4415038042
충청남도 공주시 우성면 옥성리	충청남도 공주시 우성면 옥성리	4415038043
충청남도 공주시 우성면 용봉리	충청남도 공주시 우성면 용봉리	4415038038
충청남도 공주시 우성면 죽당리	충청남도 공주시 우성면 죽당리	4415038041
충청남도 공주시 우성면 평목리	충청남도 공주시 우성면 평목리	4415038025
충청남도 공주시 우성면 한천리	충청남도 공주시 우성면 한천리	4415038029
충청남도 공주시 웅진동	충청남도 공주시 웅진동	4415010700
충청남도 공주시 월미동	충청남도 공주시 월미동	4415012300
충청남도 공주시 월송동	충청남도 공주시 월송동	4415011900
